State/Union Territory,Hindus Population,Hindus % age increase 1991-01,Muslims Population,Muslims % age increase 1991-01,Christians Population,Christians %age increase 1991-01,Sikhs Population,Sikhs %age increase 1991-01,Buddhists Population,Buddhists %age increase 1991-01,Jains Population,Jains %age increase 1991-01,Others Population,Others %age increase 1991-01,Religion not stated Population,Religion not stated %age increase 1991-01
India,827578868,23.04,138188240,36.02,24080016,22.61,19215730,18.18,7955207,24.54,4225053,26.02,6639626,103.09,727588,75.08
Andhra Pradesh,67836651,14.43,6986856,17.94,1181917,-2.83,30998,41.48,32037,44.62,41846,57.53,4768,85.96,94934,655.54
Arunachal Pradesh,379935,18.65,20675,73.42,205548,130.92,1865,54.77,143028,28.42,216,237.5,337399,7.75,9302,-47.3
Assam,17296455,14.95,8240611,29.3,986589,32.54,22519,36.54,51029,-20.28,23957,16.04,22999,-83.36,11369,12.75
Bihar,69076919,27.12,13722048,35.48,53137,71.58,20780,66.85,18818,807.77,16085,41.94,52905,1124.09,37817,4728.42
Jharkhand,18475681,NA,3731308,NA,1093382,NA,83358,NA,5940,NA,16301,NA,3514472,NA,25387,NA
Goa,886551,17.17,92210,50.04,359568,2.96,970,-10.76,649,170.42,820,68.38,353,-12.41,6547,2280.73
Gujarat,45143074,22.13,4592854,27.33,284092,56.31,45587,37.96,17829,53.5,525305,6.91,28698,101.91,33578,418.34
Haryana,18655925,27.03,1222916,60.11,27185,73.16,1170662,22.35,7140,246.94,57167,61.96,1255,704.49,2314,-30.22
Himachal Pradesh,5800222,16.97,119512,34.08,7687,73.33,72355,39.01,75859,18.38,1408,16.75,425,101.42,432,36
Jammu & Kashmir,3005349,NA,6793240,NA,20299,NA,207154,NA,113787,NA,2518,NA,97,NA,1256,NA
Karnataka,44321279,15.32,6463127,23.48,1009164,17.42,15326,51.73,393300,438.68,412659,26.54,115460,1725.45,120247,232.9
Kerala,17883449,7.29,7863842,15.84,6057427,7.75,2762,24.19,2027,808.97,4528,24.36,2256,-31.11,25083,134.55
Madhya Pradesh,55004675,23.34,3841449,28.77,170381,37.45,150772,36.44,209322,24.58,545446,21.99,409285,807.77,16693,-81.3
Chhatisgarh,19729670,NA,409615,NA,401035,NA,69621,NA,65267,NA,56103,NA,95187,NA,7305,NA
Maharashtra,77859385,21.59,10270485,34.63,1058313,19.58,215337,33.6,5838710,15..83,1301843,34.79,236841,137.39,97713,-8.3
Manipur,996894,-5.91,190939,42.99,737578,17.7,1653,27.06,1926,170.89,1461,9.27,235280,1572.69,1057,1661.67
Meghalaya,307822,18.25,99169,61.35,1628986,42.13,3110,19.07,4703,60.29,772,73.48,267245,-10.46,7015,185.05
Mizoram,31562,-9.27,10099,122.54,772809,30.69,326,9.03,70494,30.49,179,4375,2443,31.41,661,-77.22
Nagaland,153162,25.06,35005,69.58,1790349,69.23,1152,57.38,1356,133.39,2093,74.13,6108,4.05,811,665.09
Odisha,34726129,15.86,761985,31.88,897861,34.77,17492,1.13,9863,7.76,9154,45.26,361981,-9,20195,44.92
Punjab,8997942,28.74,382045,59.58,292800,30.04,14592387,14.29,41487,66.41,39276,89.16,8594,873.27,4468,-67.87
Rajasthan,50151452,27.93,4788227,35.82,72660,51.41,818420,26.07,10335,131.36,650493,15.58,5253,341.06,10348,-25.69
Sikkim,329548,18.59,7693,99.87,36115,169.25,1176,213.6,152042,37.76,183,357.5,12926,3356.15,1168,658.44
Tamil Nadu,54985079,11.01,3470647,13.69,3785060,19.05,9545,75.17,5393,153.43,83359,24.6,7252,176.79,59344,235.85
Tripura,2739310,14.86,254442,29.49,102489,120.54,1182,59.73,98922,-22.87,477,58.47,1277,63750,1104,110300
Uttar Pradesh,133979263,24.53,30740158,31.34,212578,19.38,678059,35.88,302031,44.8,207111,23,9281,28.96,69440,772.83
Uttrakhand,7212260,NA,1012141,NA,27116,NA,212025,NA,12434,NA,9249,NA,770,NA,3354,NA
West Bengal,58104835,14.95,20240543,25.91,515150,34.34,66391,19.86,243364,19.54,55223,60.74,895796,98.01,54895,771.35
Andaman & Nicobar Islands,246589,30.11,29265,37.05,77178,14.83,1587,17.56,421,30.75,23,35.29,238,-7.03,851,35.08
Chandigarh,707978,45.41,35548,103.4,7627,51.63,145175,11.43,1332,90.56,2592,69.3,257,542.5,126,129.09
Dadra & Nagar Haveli,206203,55.96,6524,95.27,6058,189.58,123,515,457,128.5,864,63.33,90,9.76,171,NA
Daman & Diu,141901,59.17,12281,35.73,3362,15.77,145,43.56,126,306.45,268,26.42,103,-16.26,18,28.57
Delhi,11358049,44.1,1623520,82.49,130319,56.72,555602,21.93,23705,70.47,155122,63.85,2174,132.26,2016,290.7
Lakshadweep,2221,-4.96,57903,18.74,509,-14.88,6,600,1,0,NA,NA,NA,NA,10,233.33
Puducherry,845449,21.48,59358,12.28,67688,15.98,108,272.41,73,87.18,952,102.55,158,1028.57,559,2330.43
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,66142612,,,,,,,,,,,,,,,
