"airport","as_code","as_desc","icon_sel_url","icon_unsel_url","asc_name","asc_code","asc_desc","img_url","email","contact","url"
"Shillong","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","AIR INDIA WHEELCHAIR ON CALL","38","Wheelchair Services  for Air India Flyers","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","Help@AirIndia.com","9436766872",""
"Allahabad","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Tea Sancks bar Services","18","Airport Tea Sancks bar Services","http://airsewa.gov.in/IMG_AiportServices/2/1.jpg","ixdsnackbar@gmail.com","8417997181",""
"Allahabad","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","Air India Wheelchair On Call","17","Two Wheel Chairs are avialable for needy passengers","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","ixd.sm@airindia.in","9793013874","http://www.airindia.in"
"Tezpur","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","AIR INDIA  WHEELCHAIR ON CALL","152","Wheel Chair Services for AirIndia Flyers","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","smtezpur@gmail.com","9435501500","www.airindia.com"
"Tezpur","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","NIL","153","ONLY PARKING SPCAE IS AVAILABLE","http://airsewa.gov.in/IMG_AiportServices/4/1.jpg","","",""
"Agra","1","Wi-fi","http://airsewa.gov.in/IMG_AiportServices/wi-fi_select.png","http://airsewa.gov.in/IMG_AiportServices/wi-fi_unselect.png","WiFi Services","106","Free WiFi Facility","http://airsewa.gov.in/IMG_AiportServices/1/1.jpg","indiafreewifi.com","9050524298",""
"Agra","3","Special Assistance","http://airsewa.gov.in/IMG_AiportServices/wheelchair_select_icon.png","http://airsewa.gov.in/IMG_AiportServices/wheelchair_unselect_icon.png","AIR INDIA WHEELCHAIR ON CALL","105","Wheel Chair on call Service by Air India","http://airsewa.gov.in/IMG_AiportServices/3/1.jpg","agr.sm@airindia.in","0562-2400487",""
"Agra","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","Sami World Travels ","107","Maxi Cab Service","http://airsewa.gov.in/IMG_AiportServices/4/1.jpg","info@samiworldtravels, ","09358499757",""
"Agra","4","Parking and Transportation","http://airsewa.gov.in/IMG_AiportServices/parking_select.png","http://airsewa.gov.in/IMG_AiportServices/parking_unselect.png","Shri Jaswant Singh Parking Services","108","Car Parking Service","http://airsewa.gov.in/IMG_AiportServices/4/2.jpg","","8755152312",""
"Ahmedabad","1","Wi-fi","http://airsewa.gov.in/IMG_AiportServices/wi-fi_select.png","http://airsewa.gov.in/IMG_AiportServices/wi-fi_unselect.png","Tata TeleServices  Ltd","336","Free WiFi facility available for 30 minutes","http://airsewa.gov.in/IMG_AiportServices/1/1.jpg","balbir.singh@tatatel.co.in","9033099816",""
"Ahmedabad","2","Rest and Relax","http://airsewa.gov.in/IMG_AiportServices/Relaxing_select.png","http://airsewa.gov.in/IMG_AiportServices/Relaxing_unselect.png","Masti Health and Beauty Pvt Ltd","337","SPA facility available at T-1 security hold area","http://airsewa.gov.in/IMG_AiportServices/2/1.jpg","sudhir@o2spa.org","9087133457",""
